,name,COUNTY,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,corp_label
185,Mitchellville,Prince George's,2019,11547,0,12,4,24,44,252,76,412,9.6,40,9.7,25.0,372,90.3,8.1,Unincorporated
186,Mitchellville,Prince George's,2020,11511,4,4,12,40,60,168,88,376,-8.7,60,16.0,50.0,316,84.0,-15.1,Unincorporated
187,Mitchellville,Prince George's,2021,12160,4,4,12,32,16,92,72,232,-38.3,52,22.4,-13.3,180,77.6,-43.0,Unincorporated
188,Mitchellville,Prince George's,2022,12103,0,0,8,40,48,148,60,304,31.0,48,15.8,-7.7,256,84.2,42.2,Unincorporated
189,Mitchellville,Prince George's,2023,12399,0,4,28,20,8,96,68,224,-26.3,52,23.2,8.3,172,76.8,-32.8,Unincorporated
190,Seabrook,Prince George's,2017,17808,0,12,16,26,40,81,37,212,0.0,54,25.5,0.0,158,74.5,0.0,Unincorporated
191,Seabrook,Prince George's,2018,18345,0,3,8,27,50,62,40,190,-10.4,38,20.0,-29.6,152,80.0,-3.8,Unincorporated
192,Seabrook,Prince George's,2019,18616,1,3,10,18,26,52,37,147,-22.6,32,21.8,-15.8,115,78.2,-24.3,Unincorporated
193,Seabrook,Prince George's,2020,19020,0,3,19,12,17,56,23,130,-11.6,34,26.2,6.3,96,73.8,-16.5,Unincorporated
194,Seabrook,Prince George's,2021,19558,2,3,13,24,16,32,35,125,-3.8,42,33.6,23.5,83,66.4,-13.5,Unincorporated
195,Seabrook,Prince George's,2022,19369,1,3,36,33,20,54,57,204,63.2,73,35.8,73.8,131,64.2,57.8,Unincorporated
196,Seabrook,Prince George's,2023,19600,2,2,7,12,14,31,72,140,-31.4,23,16.4,-68.5,117,83.6,-10.7,Unincorporated
197,Woodlawn,Prince George's,2017,7515,0,5,9,9,29,23,22,97,0.0,23,23.7,0.0,74,76.3,0.0,Unincorporated
198,Woodlawn,Prince George's,2018,7405,0,4,11,9,15,32,14,85,-12.4,24,28.2,4.3,61,71.8,-17.6,Unincorporated
199,Woodlawn,Prince George's,2019,6692,0,1,7,9,17,24,20,78,-8.2,17,21.8,-29.2,61,78.2,0.0,Unincorporated
200,Woodlawn,Prince George's,2020,6977,0,3,9,2,5,24,20,63,-19.2,14,22.2,-17.6,49,77.8,-19.7,Unincorporated
201,Woodlawn,Prince George's,2021,7819,0,3,13,9,5,24,17,71,12.7,25,35.2,78.6,46,64.8,-6.1,Unincorporated
202,Woodlawn,Prince George's,2022,7515,0,1,9,3,11,17,34,75,5.6,13,17.3,-48.0,62,82.7,34.8,Unincorporated
203,Woodlawn,Prince George's,2023,7600,0,1,7,7,6,6,30,57,-24.0,15,26.3,15.4,42,73.7,-32.3,Unincorporated
